,ABJQ,ABJR,ABMD,ABME,ABMF,ABMG,ABMI,ABML,ABMM,ABMP,ABMQ,ABMZ,ABNU,ABNV,ABPB,ABPF,KB7D,KB7E,KB7F,KB7K,KB7L,ABTF,KB7M,KB7N,ABTH,KB7O,KB7P,KB7Q,KB7R,KB7S,KB7T,KB7U,KB7V,KB7W,KB7X,KB7Y,KB7Z,KB82,KB83,KB84,KB85,KB86,KB87,KB88,KB89,KB8A,KB8B,KB8C,KB8D,BKTL,BKVT,KB8E,BOKG,KB8F,BOKH,BOKI,KB8G,KB8H,KB8I,KB8J,KB8K,KB8L,KB8M,KB8N,KB94,KG7F,KGN8,BQKO,KGN9,KGO2,BQKQ,KGO6,KGO7,KGO8,KGO9,KGP2,KGP3,KGP5,KGP7,KGP9,KGQ2,KGQ3,KGQ4,KGQ5,CAED,KGQ6,KGQ7,CAEQ,KGQ8,CAER,KGQ9,CAES,KGR2,CAEX,KGR3,CAFU,CAGD,KGR4,CAGQ,CAGR,KGR5,CAGS,KGR6,KGR7,KGR8,CGBV,KGR9,KGS2,CGBX,KGS3,KGS4,CGBZ,KGS5,KGS6,CGCB,KGS7,CGCE,KGS8,KGS9,KGT2,KGT3,KGT4,KGT5,KGT6,KGT7,KGT8,KGT9,KGU2,KGU3,KGU4,KGU5,KGU6,KGU7,KGU8,KGU9,KGV2,KGV3,KGW2,KGX6,KH23,KH2F,KH4J,KH4M,KH5C,KH5D,KH5E,KH5F,KH5G,KH5H,KH6E,KH6K,KH6Q,KH6X,KH6Z,KH73,KH7M,KH7O,KH7Q,KH9T,KH9U,KH9V,KH9W,KH9X,KH9Y,KHA2,KHA3,KHA4,KHA5,KHA6,KHA7,KHA8,KHA9,KHE2,KHF6,CMVL,KHI6,KHI7,KHI8,KHJ4,CPCM,KHJ5,KHJ6,KHJ7,KHJ8,KHJ9,KHK2,KHK3,KHK4,KLS2,KNT7,L8GG,L8GH,L8GI,RPHR,RPHU,RPIB,DFDV,DFEG,DHBM,DJDS,DLQY,DLRA,DLWF,DLWJ,DLWL,DLWM,DLWO,DLWQ,DLWT,DLWX,DMUM,DMUN,DMUQ,DTAL,DTWM,DTWR,EQDN,EQDO,EQDT,FAEA,FAEB,FAJX,FBNF,FBNG,FBNH,FBYN,GDPQ,GDPR,GIXM,GIXQ,GIXS,HAYE,HAYO,IHYA,IHYB,IHYC,IHYD,IHYM,IHYN,IHYO,IHYP,IHYQ,IHYR,IHYS,IHYT,IHYU,IKBB,IKBC,IKBD,IKBE,IKBF,IKBH,IKBI,IKBJ,IKBK,IKBL,IKBM,KG6I,KG6U,KG6W,KG74,KG76,KG7C,KG7M,KG7N,KG7O,KG7P,KG7Q,KG7R,KG7S,KG7T,KG7U,KG9K,KG9L,KG9N,KG9O,KG9P,KG9R,KG9S,KG9T,KG9V,KG9W,KG9X,KG9Y,KG9Z,KGA2,KGA3,KGA4,KGA5,KGA6,KGB2,KGB3,KGB4,KGB8,KGB9,KGC2,KGC6,KGC7,KGC8,KGD4,KGD5,KGD6,KGE2,KGE3,KGE4,KGE8,KGE9,KGF2,KGF3,KGF4,KGF5,KGF6,KGF7,KGF8,KGF9,KGG2,KGG3,KGG4,KGG5,KGG6,KGG7,KGG8,KGG9,KGH2,KGH3,KGH4,KGH5,KGH6,KGH7,KGH8,KGH9,KGI2,KGI4,KGI5,KGI6,KGI7,KGI8,KGI9,KGJ2,KGJ3,KGJ4,KGJ5,KGJ6,KGJ7,KGJ8,KGJ9,KGK2,KGK3,KGK4,KGK5,KGK6,KGK7,KGK8,KGK9,KGL2,KGL3,KGL4,KGL5,KGL6,KGL8,KGM2,KGM4,KGM5,KGM6,KGM7,KGM9,KGN3,KGP4,KGP6,KGP8,KGV4,KGV8,KGV9,KGW6,KGW7,KGW8,KGX4,KGX5,KGY2,KGY3,KGY7,KGY8,KGY9,KGZ5,KGZ6,KGZ7,KGZ9,KH22,KH27,KH28,KH29,KH2D,KH2E,KH2J,KH2K,KH2L,KH2P,KH2Q,KH2R,KH2V,KH2W,KH35,KH36,KH37,KH3B,KH3C,KH3D,KH3E,KH3I,KH3J,KH3K,KH3O,KH3P,KH3W,KH3X,KH3Y,KH44,KH45,KH46,KH47,KH49,KH4B,KH4D,KH4F,KH4H,KH59,KH5A,KH5B,KH66,KH67,KH68,KH6A,KH6C,KH6G,KH6I,KH6O,KH6P,KH6U,KH6V,KH74,KH75,KH76,KH7D,KH7E,KH7F,KH7G,KH7J,KH7K,KH7L,KH7P,KH7R,KH8Y,KH92,KH95,KH96,KH97,KH98,KH9A,KH9C,KH9F,KH9G,KH9H,KH9I,KH9K,KH9M,KH9P,KH9Q,KH9R,KH9S,KH9Z,KHB5,KHB6,KHB7,KHC3,KHC4,KHC5,KHC9,KHD2,KHD3,KHD7,KHD8,KHD9,KHE6,KHE7,KHF3,KHF4,KHF5,KHG2,KHG3,KHG7,KHG8,KHG9,KHH5,KHH6,KHH7,KHI3,KHI4,KHI5,KHI9,KHJ2,KHJ3,KI8L,KI8M,KI8N,KI8O,KI8P,KI8Q,KIH8,KIH9,KII2,KJ5P,KJ5Q,KJ5R,KLH7,KLH8,KLH9,KTMW,KTMX,KTMZ,KTNB,L2KL,L2KQ,L2KR,L2KX,L2MW,L2N2,L2N8,L2NC,L2NE,L2NQ,L2O6,L2OC,L2OH,L2P8,L2PA,L2PC,L2PZ,L2Q5,L3BB,L3BG,L3BH,L3BN,L3DM,L3DQ,L3DW,L3E2,L3E4,L3EG,L3EU,L3F2,L3F7,L3FW,L3FY,L3G2,L3GP,L3GT,L3ZZ,L426,L427,L42D,L44C,L44G,L44M,L44Q,L44S,L456,L45K,L45Q,L45V,L46M,L46O,L46Q,L47F,L47J,L489,L48D,L48H,L62K,L62L,L62M,L62N,L634,L635,L636,L637,L64T,L64U,L64V,L64W,L64X,L64Y,L64Z,L652,L653,L654,L655,L656,NHCQ,NHCZ,NHRB,NMFJ,NMOE,NMRK,NMRP,NMRU,NMRY,NPEL,NPEN,NPJO,NPJP,NPJQ,NPJR,NPQR,NPQS,NPQT,NPQX,NRJH,NRJL,NRJN,NRJR,NRJS,NRON,NROO,NROP,NROQ,NSSZ,NTAO,NTAP,ROAW,ROCG,ROYJ,ROYK,ROYL,ROYR,ROYS,ROYT,RPBM,RPBN,RPBO,RPBP,RPHL,RPHM,RPHP,RPHQ,RPIA,RPKY,RPKZ,RPLA,RPQJ,RPQK,RPQL,RPQM,RPXH,RPYH,RPYN,RPZG,RPZT,RQAJ,RQBN,RQBV,RQCH,RVFD,RVFH,RVFT,UTIB,UTID,UTIF,UTIH,UTIJ,UTIL,UTIN,UTIP,UTIR,UTIT,YBEU,YBEX,YBEZ,YBFP,YBFR,YBFS,YBFV,YBGB,YBHA,YBIJ,YBIK,YBIL,YBIM,ZAKV,ZAKW,ZAKX,ZAKY,ZAKZ,ZALA,ZAVN,ZAVO,ZAVV,ZAVW,ZAWB,ZAWC,ZAWL,ZAWM,ZAWV,ZAWW,ZAWZ,ZAXA,ZAXR,ZAXS,ZAYF,ZAYG,ZWUM,ZWUN,ZWUS,ZWUT
1948,8405,153830,14314,303579,14314,303575,283297,10924,249042,175,2293,,1433,48,8405,153830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11973,283301,,1663,,1815,-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,2197,,,,175,,2291,,,10858,247480,,10991,,,,4.4,,,1451,,,2478,,,10755,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,1285,,,,,,,,,,,,,,,,,,,,,,,,,-133,,,,,,,,,,,0,0,0,,6826,,,,,,,,,,,,,,66,-67,1562,48,1433,0.8,0.8,18.6,18.9,,,,,,,,,,528,592,-64,,,2191,2407,-216,31226,32220,-994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191,2407,31226,32220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,1993,1993,107859,107859,,,0,0,0,0,28261,1502,28261,1502,,,,153772,,,,,,,36169,1049,,,,,,,,,,,,,,,,,,,,,,,,8453,,,,,,,,,,66,,,,,,,,,,,,,0.8,0.8,19.1,,22.7,5.2,4.3,4.2,11973,12123,283112,12123,283108,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,8759,157221,15252,315530,15252,315526,293855,11679,259272,65,-40,,1506,52,8759,157221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12724,293859,,1891,,2028,-137,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,346,,2358,,,,65,,-40,,,11538,256016,,11800,,,,4.5,,,1524,,,2728,,,11539,,19.5,,,,,,,,,,,,,,,,,,,,,3.9,2.7,5.1,5.8,1.6,6.8,,,,,,,4.5,7.3,4.9,,,,,,,,,,,,,,,,,,,,,,,1306,,,,,,,,,,,,,,,,,,,,,,,,,-262,,,,,,,,,,,0,0,0,,7287,,,,,,,,,,,,,,141,-121,3256,52,1506,0.9,0.9,19.3,19.7,6.3,,,3.7,,,2.5,,,598,641,-43,,,2489,2669,-180,34648,34749,-101,10.7,,,,,,,8.8,,,,,,,,13.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,2.7,,,4.1,,,,,,6.6,,,,,5.3,,,,,4.2,,,2.2,,,,,,,11.6,,,,,13.6,,,11,,,13.3,,,,,,10.9,,,7.8,,,8.3,,,,,,6.3,,,3.4,,,7.3,,,,,7.4,,,,,,,,,,,,2.5,,,8.3,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,2489,2669,34648,34749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,2225,2225,114115,114115,,,0,0,0,0,30761,1662,30761,1662,,,,158415,,,,,,,36172,1045,,,,,,,,,,,,,,,,,,,,,,,,8811,,,,,,,,,,141,,,,,,,,,,,,,0.9,0.9,19.8,,23.5,5.3,4.4,4.3,12723,12763,290664,12763,290661,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,9244,162323,16193,325153,16193,325150,304395,12143,268266,-210,-5373,,1614,57,9244,162323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13303,304399,,2293,,2347,-54,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,405,,2280,,,,-210,,-5370,,,11987,264696,,12229,,,,4.5,,,1583,,,2718,,,11970,,20.2,,,,,,,,,,,,,,,,,,,,,3,0.9,7.2,-0.1,8.7,5.2,,,,,,,3.1,3.7,3.9,,,,,,,,,,,,,,,,,,,,,,,1419,,,,,,,,,,,,,,,,,,,,,,,,,-242,,,,,,,,,,,0,0,0,,7669,,,,,,,,,,,,,,156,-86,3570,57,1614,0.9,0.9,19.9,20.3,4.6,,,3.6,,,0.9,,,695,699,-4,,,2988,3046,-58,39580,35041,4539,8.2,,,,,,,5.4,,,,,,,,21.3,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0.5,,,3.5,,,,,,6.2,,,,,3.5,,,,,5.5,,,3.2,,,,,,,4,,,,,20,,,14.2,,,16.2,,,,,,14.1,,,0.8,,,9,,,,,,3.9,,,3.4,,,-3.3,,,,,3.6,,,,,,,,,,,,2.6,,,9.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,2.2,,,,,,2988,3046,39580,35041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,2315,2315,113998,113998,,,0,0,0,0,32418,1799,32418,1799,,,,164145,,,,,,,37959,1160,,,,,,,,,,,,,,,,,,,,,,,,9301,,,,,,,,,,156,,,,,,,,,,,,,0.9,0.9,20.5,,24.3,5.4,4.5,4.4,13303,13205,293190,13205,293186,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,9984,160981,18972,338932,18972,338928,313841,13432,275716,575,7655,,1595,62,9984,160981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14777,313845,,2779,,3471,-692,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,418,,2607,,,,575,,7651,,,13328,273507,,13535,,,,4.9,,,1664,,,3057,,,13264,,20.8,,,,,,,,,,,,,,,,,,,,,4.2,5.4,-1.2,7.3,13.9,11.4,,,,,,,2.9,10.8,5.2,,,,,,,,,,,,,,,,,,,,,,,1616,,,,,,,,,,,,,,,,,,,,,,,,,-207,,,,,,,,,,,0,0,0,,8543,,,,,,,,,,,,,,104,-103,2209,62,1595,1,1,20.6,20.9,11.1,,,3.1,,,7.7,,,860,828,32,,,3639,4299,-660,39185,37501,1684,11.8,,,,,,,1.1,,,,,,,,21.2,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,7.6,,,2.8,,,,,,17.2,,,,,16.1,,,,,8,,,-0.8,,,,,,,16.7,,,,,21.8,,,-1,,,23.7,,,,,,41.1,,,7,,,18.5,,,,,,11.2,,,3.3,,,14.3,,,,,10.7,,,,,,,,,,,,10.1,,,8.8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,,,,,,,,,8.9,,,,,,3639,4299,39185,37501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,2701,2701,122320,122320,,,0,0,0,0,32789,2011,32789,2011,,,,162863,,,,,,,40357,1345,,,,,,,,,,,,,,,,,,,,,,,,10046,,,,,,,,,,104,,,,,,,,,,,,,1,1,21.1,,24.8,5.9,5,4.7,14777,15333,309087,15333,309083,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,10512,161499,19830,335077,19830,335073,314865,14596,277401,50,-389,,1669,68,10512,161499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15982,314869,,2817,,3089,-272,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,455,,3069,,,,50,,-389,,,14545,276396,,14759,,,,5.3,,,1762,,,3558,,,14471,,20.9,,,,,,,,,,,,,,,,,,,,,-1.1,-0.9,4.6,9.6,3.6,7.1,,,,,,,1,9.1,5.7,,,,,,,,,,,,,,,,,,,,,,,1674,,,,,,,,,,,,,,,,,,,,,,,,,-214,,,,,,,,,,,0,0,0,,9151,,,,,,,,,,,,,,51,-163,1005,68,1669,1.1,1.1,20.8,21.1,8.2,,,0.3,,,7.8,,,933,810,123,,,3750,3899,-149,38391,34704,3687,12.6,,,,,,,1.7,,,,,,,,1.4,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,8,,,0.6,,,,,,4.5,,,,,4.9,,,,,5.3,,,0.3,,,,,,,17.9,,,,,3.1,,,-2,,,8.5,,,,,,-9.3,,,-7.5,,,-2.2,,,,,,9.1,,,1.1,,,17.7,,,,,9,,,,,,,,,,,,5.9,,,9.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,4.9,,,,,,3750,3899,38391,34704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,3185,3185,134057,134057,,,0,0,0,0,33334,2265,33334,2265,,,,166660,,,,,,,39280,1386,,,,,,,,,,,,,,,,,,,,,,,,10580,,,,,,,,,,51,,,,,,,,,,,,,1.1,1.1,21.2,,24.6,6.2,5.3,5.1,15982,16080,306225,16080,306221,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,11210,169072,20931,352363,20931,352359,327814,15650,288840,125,615,,1772,74,11210,169072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17126,327819,,2729,,2973,-244,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,541,,3295,,,,125,,615,,,15657,288974,,15694,,,,5.4,,,1829,,,3881,,,15388,,21.8,,,,,,,,,,,,,,,,,,,,,5.2,5.4,6.2,2.6,6.5,5.8,,,,,,,3.3,6.3,3.9,,,,,,,,,,,,,,,,,,,,,,,1782,,,,,,,,,,,,,,,,,,,,,,,,,-37,,,,,,,,,,,0,0,0,,9678,,,,,,,,,,,,,,-7,-44,-134,74,1772,1.2,1.2,21.8,21.8,7.2,,,4.1,,,2.9,,,948,825,123,,,3677,3798,-121,39995,37444,2551,12.1,,,,,,,10.9,,,,,,,,-3.1,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,3,,,4.1,,,,,,5.6,,,,,7.3,,,,,6.6,,,4.7,,,,,,,3.8,,,,,-1.9,,,4.2,,,1.6,,,,,,-2.6,,,7.9,,,1.9,,,,,,7.6,,,4.6,,,7.4,,,,,6.3,,,,,,,,,,,,1.8,,,8.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,1.9,,,,,,3677,3798,39995,37444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,3305,3305,137543,137542,,,0,0,0,0,36978,2540,36978,2540,,,,175220,,,,,,,40788,1476,,,,,,,,,,,,,,,,,,,,,,,,11284,,,,,,,,,,-7,,,,,,,,,,,,,1.2,1.2,22.1,,25.6,6.3,5.3,5.2,17126,17254,322722,17254,322718,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,11884,177011,21980,366393,21980,366387,342588,16636,302490,56,-419,,1904,83,11884,177011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18129,342595,,2829,,3039,-210,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,623,,3476,,,,56,,-419,,,16565,301148,,16733,,,,5.5,,,1899,,,4148,,,16379,,22.8,,,,,,,,,,,,,,,,,,,,,4,3.6,7.4,-0.3,3.6,6.8,,,,,,,5,6.4,3.9,,,,,,,,,,,,,,,,,,,,,,,1847,,,,,,,,,,,,,,,,,,,,,,,,,-168,,,,,,,,,,,0,0,0,,10332,,,,,,,,,,,,,,71,-97,1342,83,1904,1.2,1.3,22.7,22.9,5.9,,,4.5,,,1.3,,,998,883,115,,,3827,3922,-95,42247,38811,3436,7.9,,,,,,,8.2,,,,,,,,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,1.5,,,4.7,,,,,,5,,,,,5.2,,,,,6,,,4.7,,,,,,,2.5,,,,,4.1,,,5.6,,,5.3,,,,,,3.3,,,3.7,,,7,,,,,,5.8,,,4.2,,,5.5,,,,,6.6,,,,,,,,,,,,1.5,,,12.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,1.3,,,,,,3827,3922,42248,38811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,3389,3389,137127,137127,,,0,0,0,0,40012,2741,40011,2741,,,,181938,,,,,,,41758,1493,,,,,,,,,,,,,,,,,,,,,,,,11967,,,,,,,,,,71,,,,,,,,,,,,,1.2,1.3,23.1,,26.7,6.4,5.4,5.3,18129,18153,334437,18153,334431,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,12805,185355,23873,384838,23873,384831,355858,17812,313579,300,4040,,19383,110,12805,185356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19490,355865,,3127,,3442,-315,,,,,,,,,,5.3,,36954,,,34175,,,,,,,,,,,,,,,,,584,,3588,,,,300,,4041,,,17756,312529,,17901,,,,5.7,,,2025,,,4229,,,17550,,23.6,,,,,,,,,,,,,,,,,,,,,5,4.6,918,-2.4,9.9,9.3,,,,,,,3.6,7.1,7.3,,,,,,,,,,,,,,,,,,,,,,,2029,,,,,,,,,,,,,,,,,,,,,,,,,-145,,,,,,,,,,,0,0,0,,11296,,,,,,,,,,,,,,56,-89,1050,110,19383,1.3,1.3,23.5,23.7,7.5,,,3.9,,,3.5,,,1039,997,42,13230,11664,4166,4439,-273,45163,42658,2505,10.4,,,,,,,5.3,,,,,,,,10.5,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,3.3,,,3.7,,,,,,8.6,,,,,8.6,,,,,7.7,,,4.7,,,,,,,2.3,,,,,8.9,,,6.9,,,4.1,,,,,,13.2,,,9.9,,,12.9,,,,,,7.2,,,3.8,,,3.2,,,,,7,,,,,,,,,,,,3.7,,,32.5,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,-5.7,,,,,,4166,4439,45163,42658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,3466,3466,133832,133834,,,0,0,0,0,42114,3026,42113,3026,,,,191310,,,,,,,44322,1678,,,,,,,,,,,,,,,,,,,,,,,,12915,,,,,,,,,,56,,,,,,,,,,,,,1.3,1.3,24,,27.6,6.6,5.6,5.5,19490,19707,349956,19707,349950,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,13466,187231,25485,390304,25485,390303,360417,19166,318271,259,2890,,15911,117,13466,187231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20955,360419,,3439,,3389,50,,,,,,,,,,4.6,,30800,,,32401,,,,,,,,,,,,,,,,,654,,3662,,,,259,,2888,,,19186,318610,,19197,,,,6,,,2132,,,4379,,,18831,,24,,,,,,,,,,,,,,,,,,,,,1.4,0.7,-17.9,-1,6.2,9.1,,,,,,,1.2,7.3,5.3,,,,,,,,,,,,,,,,,,,,,,,2155,,,,,,,,,,,,,,,,,,,,,,,,,-11,,,,,,,,,,,0,0,0,,12320,,,,,,,,,,,,,,-20,-31,-339,117,15911,1.4,1.4,24,24,7.5,,,1.3,,,6.1,,,1147,1121,26,15099,12202,4586,4510,76,47242,42789,4453,9.6,,,,,,,4.6,,,,,,,,10,-1.5,,,,,,,,-16.7,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,6,,,1.5,,,,,,6.8,,,,,6,,,,,5.2,,,1,,,,,,,8,,,,,10.1,,,4.6,,,10.4,,,14.1,,,1.6,,,0.3,,,12.4,,,4.6,,,8.1,,,1.9,,,2.1,,,,,7.2,,,,,,,,,,,,5.3,,,6.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,6,,,,,,4586,4510,47242,42789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,3742,3742,132497,132497,,,0,0,0,0,44038,3315,44040,3315,,,,196717,,,,,,,43802,1789,,,,,,,,,,,,,,,,,,,,,,,,13583,,,,,,,,,,-20,,,,,,,,,,,,,1.4,1.4,24.3,,27.9,6.9,5.9,5.8,20955,20899,352572,20899,352571,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,14196,191980,26893,399017,26893,399011,367645,20307,325379,238,2998,,13938,128,14196,191980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22106,367652,,3573,,3602,-29,,,,,,,,,,4.9,,32094,,,32862,,,,,,,,,,,,,,,,,657,,3873,,,,238,,3000,,,20363,326340,,20261,,,,6.2,,,2226,,,4602,,,19845,,24.5,,,,,,,,,,,,,,,,,,,,,2.2,2.2,-12.4,-1.3,2.8,5.7,,,,,,,1.9,5.4,4.4,,,,,,,,,,,,,,,,,,,,,,,2215,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,0,0,0,,13017,,,,,,,,,,,,,,-56,46,-961,128,13938,1.5,1.5,24.6,24.5,5.5,,,2,,,3.4,,,1250,1129,121,16027,11869,4823,4731,92,48472,43853,4619,8.6,,,,,,,4.9,,,,,,,,3.9,6.3,,,,,,,,4.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,3.6,,,2.2,,,,,,5.5,,,,,5.6,,,,,5.4,,,2.5,,,,,,,4.4,,,,,5.2,,,2.6,,,9,,,6.1,,,4.9,,,2.5,,,0.7,,,-2.7,,,6.1,,,2.4,,,5.8,,,,,5.5,,,,,,,,,,,,3.4,,,9.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,4823,4731,48472,43853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,3908,3908,130767,130768,,,0,0,0,0,46215,3600,46214,3600,,,,200726,,,,,,,43579,1799,,,,,,,,,,,,,,,,,,,,,,,,14324,,,,,,,,,,-56,,,,,,,,,,,,,1.5,1.5,24.7,,28.4,7.1,6.1,6,22106,22070,360155,22070,360149,,,,,,,,,,,,,,,,,,,,,,,,,,
