"","Date","DE","AL","HR","RS","GR","U2","UA","SI","RU","BA"
"1",Jan 1990,11.09,NA,NA,NA,25.4,NA,NA,NA,NA,NA
"2",Feb 1990,11.24,NA,NA,NA,25.3,NA,NA,NA,NA,NA
"3",Mar 1990,11.52,NA,NA,NA,25.3,NA,NA,NA,NA,NA
"4",Apr 1990,11.55,NA,NA,NA,26.21,NA,NA,NA,NA,NA
"5",May 1990,11.58,NA,NA,NA,26.5,NA,NA,NA,NA,NA
"6",Jun 1990,11.6,NA,NA,NA,27.7,NA,NA,NA,NA,NA
"7",Jul 1990,11.58,NA,NA,NA,27.7,NA,NA,NA,NA,NA
"8",Aug 1990,11.65,NA,NA,NA,29.4,NA,NA,NA,NA,NA
"9",Sep 1990,11.69,NA,NA,NA,29.45,NA,NA,NA,NA,NA
"10",Oct 1990,11.73,NA,NA,NA,29.45,NA,NA,NA,NA,NA
"11",Nov 1990,11.91,NA,NA,NA,29.5,NA,NA,NA,NA,NA
"12",Dec 1990,11.97,1,NA,NA,29.5,NA,NA,NA,NA,NA
"13",Jan 1991,11.85,NA,NA,NA,29.4,NA,NA,NA,NA,NA
"14",Feb 1991,12.18,NA,NA,NA,29.5,NA,NA,NA,NA,NA
"15",Mar 1991,12.22,NA,NA,NA,29.5,NA,NA,NA,NA,NA
"16",Apr 1991,12.26,NA,NA,NA,29.6,NA,NA,NA,NA,NA
"17",May 1991,12.24,NA,NA,NA,29.6,NA,NA,NA,NA,NA
"18",Jun 1991,12.26,NA,NA,NA,29.5,NA,NA,NA,NA,NA
"19",Jul 1991,12.27,NA,NA,NA,29.5,NA,NA,NA,NA,NA
"20",Aug 1991,12.47,NA,NA,NA,29.5,NA,NA,NA,NA,NA
"21",Sep 1991,12.92,NA,NA,NA,29.5,NA,NA,NA,NA,NA
"22",Oct 1991,12.95,NA,NA,NA,29.4,NA,NA,NA,NA,NA
"23",Nov 1991,12.98,NA,NA,NA,29.2,NA,NA,NA,NA,NA
"24",Dec 1991,12.95,1,NA,NA,29.2,NA,NA,824.56,NA,NA
"25",Jan 1992,13.35,8,NA,NA,29,NA,NA,564.06,NA,NA
"26",Feb 1992,13.39,8,NA,NA,28.8,NA,NA,319.86,NA,NA
"27",Mar 1992,13.38,8,NA,NA,28.8,NA,NA,328.03,NA,NA
"28",Apr 1992,13.4,8,NA,NA,28.8,NA,NA,365.44,NA,NA
"29",May 1992,13.43,8,NA,NA,28.7,NA,NA,122.53,NA,NA
"30",Jun 1992,13.44,8,NA,NA,28.7,NA,NA,167.05,NA,NA
"31",Jul 1992,13.55,39,NA,NA,28.5,NA,NA,142.79,NA,NA
"32",Aug 1992,14.08,32,NA,NA,28.5,NA,NA,56.86,NA,NA
"33",Sep 1992,14.05,32,NA,NA,28.6,NA,NA,46.59,NA,NA
"34",Oct 1992,13.72,32,NA,NA,28.6,NA,NA,69.77,NA,NA
"35",Nov 1992,13.68,32,NA,NA,28.8,NA,NA,86.75,NA,NA
"36",Dec 1992,13.66,32,2332.92,NA,28.7,NA,75.7,71.6,NA,NA
"37",Jan 1993,13.65,32,1370.6301,NA,28.8,NA,76.6,41.75,NA,NA
"38",Feb 1993,13.47,32,1462.0001,NA,28.9,NA,88.2,100.09,NA,NA
"39",Mar 1993,13.35,32,1821.6301,NA,28.9,NA,87.1,49.76,NA,NA
"40",Apr 1993,13.22,32,2023.62,NA,28.7,NA,110.5,41.4,NA,NA
"41",May 1993,13.03,32,1898.71,NA,28.7,NA,144.3,34.24,NA,NA
"42",Jun 1993,13.01,25,1928.82,NA,28.7,NA,231.8,41.51,NA,NA
"43",Jul 1993,12.89,25,1990.28,NA,28.3,NA,223.3,41.72,NA,NA
"44",Aug 1993,12.69,25,2005.91,NA,28.3,NA,204.4,30.73,NA,NA
"45",Sep 1993,12.51,30,2578.56,NA,28.3,NA,224.2,46.16,NA,NA
"46",Oct 1993,12.32,30,101.45,NA,28.4,NA,246.3,45.18,NA,NA
"47",Nov 1993,12.09,30,82.69,NA,28.3,NA,279.2,68.12,NA,NA
"48",Dec 1993,11.97,30,59,NA,28.4,NA,295.1,42.64,NA,NA
"49",Jan 1994,11.94,26,55.9101,NA,26.7,NA,310.2,40.52,NA,NA
"50",Feb 1994,11.91,26,53.5801,NA,26.8,NA,384.7,42.93,NA,NA
"51",Mar 1994,11.81,26,23.2901,NA,27,NA,389.8,36.64,NA,NA
"52",Apr 1994,11.76,26,17.74,NA,26.8,NA,328,33.5,NA,NA
"53",May 1994,11.55,26,16.49,NA,28.7,NA,303.1,49.57,NA,NA
"54",Jun 1994,11.27,26,16.21,NA,29.3,NA,254.7,31.56,NA,NA
"55",Jul 1994,11.26,26,16.14,NA,28.2,NA,192.5,40.5,NA,NA
"56",Aug 1994,11.25,22,14.9,NA,27.8,NA,151.3,32.62,NA,NA
