"","Date","AL","DE","RU","TR","U2","UA","RS","HR","BA","GR","SI"
"1",Jan 1990,NA,1.6826,NA,0.00234965,NA,NA,NA,NA,NA,157.48,NA
"2",Feb 1990,NA,1.6918,NA,0.00241059,NA,NA,NA,NA,NA,159.855,NA
"3",Mar 1990,NA,1.6944,NA,0.00248651,NA,NA,NA,NA,NA,163.12,NA
"4",Apr 1990,NA,1.6803,NA,0.00252195,NA,NA,NA,NA,NA,164.66,NA
"5",May 1990,NA,1.691,NA,0.00259341,NA,NA,NA,NA,NA,165.795,NA
"6",Jun 1990,NA,1.6715,NA,0.00265734,NA,NA,NA,NA,NA,163.4,NA
"7",Jul 1990,NA,1.596,NA,0.00267233,NA,NA,NA,NA,NA,157.25,NA
"8",Aug 1990,NA,1.5622,NA,0.00269231,NA,NA,NA,NA,NA,154.67,NA
"9",Sep 1990,NA,1.5641,NA,0.00273626,NA,NA,NA,NA,NA,154.155,NA
"10",Oct 1990,NA,1.5191,NA,0.00277822,NA,NA,NA,NA,NA,153.57,NA
"11",Nov 1990,NA,1.505,NA,0.00281419,NA,NA,NA,NA,NA,154.73,NA
"12",Dec 1990,NA,1.494,NA,0.00293007,NA,NA,NA,NA,NA,157.625,NA
"13",Jan 1991,NA,1.49,NA,0.00304495,NA,NA,NA,NA,NA,158.68,NA
"14",Feb 1991,NA,1.5202,NA,0.00333367,NA,NA,NA,NA,NA,163.325,NA
"15",Mar 1991,NA,1.717,NA,0.00370429,NA,NA,NA,NA,NA,184.16,NA
"16",Apr 1991,NA,1.7325,NA,0.00395704,NA,NA,NA,NA,NA,188.405,NA
"17",May 1991,NA,1.7247,NA,0.00405494,NA,NA,NA,NA,NA,188.93,NA
"18",Jun 1991,NA,1.812,NA,0.00433466,NA,NA,NA,NA,NA,198.6,NA
"19",Jul 1991,NA,1.7458,NA,0.0043996,NA,NA,NA,NA,NA,192.045,NA
"20",Aug 1991,NA,1.7408,NA,0.0045964,NA,NA,NA,NA,NA,192.54,NA
"21",Sep 1991,NA,1.6631,NA,0.00472327,NA,NA,NA,NA,NA,184.98,NA
"22",Oct 1991,NA,1.6731,NA,0.00492907,NA,NA,NA,NA,NA,187.4,NA
"23",Nov 1991,NA,1.6318,NA,0.00506793,NA,NA,NA,NA,NA,185.62,NA
"24",Dec 1991,NA,1.516,NA,0.00507992,NA,NA,NA,NA,NA,175.28,56.6927
"25",Jan 1992,50,1.6137,NA,0.00549151,NA,NA,NA,0.088193,NA,186.175,59.9031
"26",Feb 1992,50,1.6378,NA,0.00587312,NA,NA,NA,0.09031,NA,189.22,78.5684
"27",Mar 1992,50,1.6427,NA,0.00624775,NA,NA,NA,0.110316,NA,190.7,83.1024
"28",Apr 1992,50,1.6598,NA,0.0066004,NA,NA,NA,0.155467,NA,194.28,84.5926
"29",May 1992,50,1.6128,NA,0.00682717,NA,NA,NA,0.181091,NA,192.36,83.0047
"30",Jun 1992,50,1.527,0.1,0.00687512,NA,NA,NA,0.221053,NA,185.62,76.9827
"31",Jul 1992,106.5,1.479,0.161,0.00706593,NA,NA,NA,0.242381,NA,181.84,77.0157
"32",Aug 1992,91.4,1.4097,0.205,0.00705794,NA,NA,NA,0.274619,NA,175.355,77.382
"33",Sep 1992,97,1.4093,0.254,0.00732467,NA,NA,NA,0.337662,NA,180.9,81.9926
"34",Oct 1992,96.3,1.537,0.398,0.00784615,NA,NA,NA,0.462035,NA,199.22,90.2769
"35",Nov 1992,97.9,1.6015,0.447,0.0082897,NA,NA,NA,0.618565,NA,208.9,96.5294
"36",Dec 1992,102.9,1.614,0.415,0.00856443,NA,0.00638,NA,0.798188,NA,214.58,98.7005
"37",Jan 1993,107,1.5935,0.572,0.00882317,NA,0.00931,NA,0.957866,NA,213.13,97.9455
"38",Feb 1993,106,1.643,0.593,0.0091948,NA,0.01036,NA,1.22687,NA,222.265,102.0626
"39",Mar 1993,107,1.6143,0.684,0.00946053,NA,0.0218,NA,1.556272,NA,220.55,104.2878
"40",Apr 1993,103,1.5802,0.823,0.00965933,NA,0.03,NA,1.920305,NA,214.62,104.8584
"41",May 1993,105.63,1.594,0.991,0.010133855,NA,0.02999,NA,2.430841,NA,216.21,109.406
"42",Jun 1993,105.5,1.6882,1.06,0.01087112,NA,0.0398,NA,3.195071,NA,230.32,118.9194
"43",Jul 1993,104.48,1.7397,0.99,0.01154345,NA,0.0576,NA,3.970554,NA,239,121.9331
"44",Aug 1993,100.01,1.6683,0.985,0.01160823,NA,0.0597,NA,4.774236,NA,235.6,117.2746
"45",Sep 1993,98.01,1.6199,1.201,0.01209399,NA,0.0597,NA,5.940311,NA,233.67,114.8327
"46",Oct 1993,96.55,1.6753,1.186,0.01298001,NA,0.0597,NA,6.849504,NA,239.97,122.3574
"47",Nov 1993,95.4,1.711,1.214,0.01373725,NA,0.0709,NA,6.382774,NA,245.7,128.519
"48",Dec 1993,98.7,1.7263,1.247,0.01447252,NA,0.1261,NA,6.561927,NA,249.22,131.842
"49",Jan 1994,100.7,1.7414,NA,0.01722076,NA,0.1261,NA,6.544056,NA,250.19,133.6798
"50",Feb 1994,101.5,1.7136,NA,0.01827871,NA,0.1261,NA,6.178019,NA,248.25,133.7113
"51",Mar 1994,100.52,1.672,1.753,0.02215982,NA,0.1261,NA,6.138887,NA,246.02499,131.8105
"52",Apr 1994,100.6,1.664,NA,0.03412084,NA,0.1261,NA,6.144476,NA,246.2,131.5236
"53",May 1994,98.85,1.6412,NA,0.03176221,NA,0.151,NA,6.1213,NA,242.39999,130.6241
"54",Jun 1994,93.26,1.5954,1.985,0.03119478,NA,0.175,NA,5.8656,NA,240.87,126.0185
"55",Jul 1994,90.43,1.5958,NA,0.03104792,NA,0.195,NA,5.888,NA,240.7,127.1292
"56",Aug 1994,86.21,1.583,NA,0.03298399,NA,0.205,NA,5.8476,NA,239.99001,126.2031
"57",Sep 1994,84.72,1.5483,2.596,0.0340729,NA,0.28,NA,5.7261,NA,236,124.3735
"58",Oct 1994,88.72,1.512,NA,0.035859,NA,0.786,NA,5.4919,NA,232.83,120.9016
"59",Nov 1994,94.63,1.5708,NA,0.0363595,NA,1.086,NA,5.6979,NA,241.92999,126.9665
"60",Dec 1994,95.59,1.5488,3.55,0.038726,NA,1.042,NA,5.6287,NA,240.10001,126.4576
"61",Jan 1995,94.26,1.5088,4.004,0.0404335,NA,1.172,NA,5.4954,NA,235.2,124.0781
"62",Feb 1995,92.69,1.4611,4.407,0.0413735,NA,1.262,NA,5.2908,NA,233,119.2618
"63",Mar 1995,93.27,1.3837,4.897,0.041831,NA,1.301,NA,4.9972,NA,225.97501,112.4198
"64",Apr 1995,92.65,1.3812,5.1,0.042374,NA,1.3,NA,4.9518,NA,224.68,112.4746
"65",May 1995,92.57,1.3887,4.995,0.042695,NA,1.358,NA,4.991,NA,224.895,112.7549
"66",Jun 1995,91.71,1.3837,4.538,0.043913,NA,1.415,NA,5.0422,NA,225.095,113.6453
"67",Jul 1995,90.32,1.3805,4.415,0.044993,NA,1.473,NA,5.0071,NA,223.95,112.8547
"68",Aug 1995,92.75,1.4665,4.435,0.047963,NA,1.63,NA,5.3643,NA,235.75,120.7082
"69",Sep 1995,93.32,1.4188,4.508,0.049006,NA,1.701,NA,5.255,NA,231.06,117.8946
"70",Oct 1995,91.35,1.4134,4.504,0.051113,NA,1.772,NA,5.2534,NA,232.705,119.7319
"71",Nov 1995,94.22,1.4367,4.578,0.054599,NA,1.786,NA,5.3393,NA,236.10001,124.1426
"72",Dec 1995,94.24,1.4335,4.64,0.05965,NA,1.794,NA,5.3161,NA,237.03999,125.9902
"73",Jan 1996,97.19,1.4918,4.732,0.06266,NA,1.874,NA,5.5057,NA,246.535,132.6852
"74",Feb 1996,97.82,1.4667,4.815,0.0659515,NA,1.893,NA,5.3706,NA,240.53999,131.3869
"75",Mar 1996,100.52,1.4757,4.854,0.0707515,NA,1.869,NA,5.4576,NA,241.02,133.69
"76",Apr 1996,104.64,1.5294,4.932,0.0744215,NA,1.833,NA,5.5669,NA,243.32001,137.51
"77",May 1996,109.35,1.5341,5.014,0.078225,NA,1.841004,NA,5.5769,NA,242.5,137.67
"78",Jun 1996,111.71,1.5219,5.108,0.081485,NA,1.786,NA,5.4426,NA,240.79,136.61
"79",Jul 1996,111.21,1.4704,5.191,0.083003,NA,1.76,NA,5.258,NA,234.58,131.94
"80",Aug 1996,108.03,1.4809,5.345,0.0860175,NA,1.761,NA,5.2553,NA,236.86,131.97
"81",Sep 1996,107.79,1.5268,5.396,0.0915575,NA,1.76,NA,5.4255,NA,241.3,136.48
"82",Oct 1996,104.91,1.5126,5.455,0.0958725,NA,1.81,NA,5.3869,NA,237.56,137.03
"83",Nov 1996,100.41,1.5344,5.511,0.101575,NA,1.887,NA,5.4659,NA,241.56,139.79
"84",Dec 1996,103.07,1.5548,5.56,0.107775,NA,1.889,NA,5.5396,NA,247.02,141.48
"85",Jan 1997,128.08,1.6336,5.629,0.11561,NA,1.879,NA,5.8452,1.63360000055128,257.12,149.24
"86",Feb 1997,144.13,1.6912,5.676,0.121785,NA,1.836,NA,6.0366,1.69120000057072,265.5,154
"87",Mar 1997,148.5,1.6778,5.726,0.127355,NA,1.85,NA,5.9917,1.6778000005662,265.87,153.13
"88",Apr 1997,148.33,1.7274,5.762,0.134955,NA,1.841,NA,6.2002,1.72740000058294,274.60001,157.98
"89",May 1997,175.1,1.7,5.773,0.140055,NA,1.86,NA,6.0822,1.70000000057369,271.25,154.63
"90",Jun 1997,178.74,1.7441,5.782,0.148045,NA,1.857,NA,6.1665,1.74410000058857,275.22,156.87
"91",Jul 1997,145.17,1.8325,5.798,0.159045,NA,1.857,NA,6.5598,1.8325000006184,286.45999,168.48
"92",Aug 1997,155.69,1.794,5.83,0.16581,NA,1.857,NA,6.3804,1.79400000060541,282.82999,166.18
"93",Sep 1997,147.4,1.7655,5.86,0.17363,NA,1.868,NA,6.239,1.76550000059579,278.91,165.06
"94",Oct 1997,143.71,1.723,5.887,0.180675,NA,1.875,NA,6.0603,1.72300000058145,271.32001,162.09
"95",Nov 1997,144.58,1.7637,5.919,0.193885,NA,1.887,NA,6.2253,1.76370000059519,277.05,166.62
"96",Dec 1997,149.14,1.7921,5.96,0.205605,NA,1.899,5.9123,6.3031,1.79210000060477,282.60999,169.18
"97",Jan 1998,152.89,1.8265,6.026,0.214705,NA,1.9295,NA,6.4224,1.82650000061638,289.26001,172.39
"98",Feb 1998,158.51,1.8112,6.072,0.22905,NA,2.0149,NA,6.3848,1.81120000061122,286.67001,171.08
"99",Mar 1998,160.17,1.8468,6.106,0.242215,NA,2.0383,NA,6.4907,1.84680000062323,319.79999,172.67
"100",Apr 1998,158.23,1.7948,6.133,0.24902,NA,2.041,NA,6.4313,1.79480000060568,316.03,168.35
"101",May 1998,154.21,1.7823,6.164,0.256555,NA,2.0575,NA,6.4698,1.78230000060146,305.35999,166.61
"102",Jun 1998,152.75,1.8087,6.198,0.26552,NA,2.0635,NA,6.5993,1.80870000061037,305.32,169.7
"103",Jul 1998,148.16,1.7795,6.238,0.26991,NA,2.1342,NA,6.4124,1.77950000060052,296.35001,166.69
"104",Aug 1998,149.92,1.7723,7.905,0.276685,NA,2.25,NA,6.444,1.77230000059809,306.53,169.14
"105",Sep 1998,146.16,1.6759,16.0645,0.276875,NA,3.4,NA,6.1707,1.67590000056556,289.09,158.08
"106",Oct 1998,141.09,1.6508,16.01,0.28577,NA,3.428,NA,6.173,1.65080000055709,281.01001,156.74
"107",Nov 1998,141.21,1.702,17.88,0.30309,NA,3.427,NA,6.3553,1.70200000057437,286.17999,162.91
"108",Dec 1998,140.58,1.673,20.65,0.314464,NA,3.427,10.0308,6.2475,1.67300000056458,282.57001,161.2
"109",Jan 1999,139.6,NA,22.6,0.331403,0.878425860857344,3.427,NA,6.480515,1.71805165144062,281.47,165.88
"110",Feb 1999,141.1,NA,22.86,0.351559,0.907605736068252,3.583,NA,6.869506,1.77512252677437,292.05,172.03
"111",Mar 1999,147.67,NA,24.18,0.368269,0.930925339787749,3.9356,NA,7.089117,1.82073170731707,303.89999,177.71
"112",Apr 1999,144.15,NA,24.23,0.389311,0.943663300934227,3.9244,NA,7.158725,1.84564499386619,307.41,180.3
"113",May 1999,139.95,NA,24.44,0.405618,0.956388676358072,3.9247,NA,7.262854,1.87053366488141,310.23999,183.81
"114",Jun 1999,136.88,NA,24.22,0.42035,0.968241673121611,3.9489,NA,7.338988,1.89371611154144,314.44,187.88
"115",Jul 1999,135.5,NA,24.19,0.426961,0.935103796521414,4.2006,NA,7.096028,1.82890405835048,303.88,183.42
"116",Aug 1999,135.7,NA,24.75,0.444021,0.9458053532583,4.381,NA,7.261254,1.84983448406318,309.8,188.46
"117",Sep 1999,134.1,NA,25.08,0.459497,0.93764650726676,4.4697,NA,7.249079,1.83387716830755,308.27,184.4224
"118",Oct 1999,133.93,NA,26.05,0.47847,0.956937799043062,4.5032,NA,7.315275,1.87160765550239,316.04,188.049
"119",Nov 1999,135.48,NA,26.42,0.514911,0.99039318609488,4.7071,NA,7.570394,1.93704070515995,324.99,194.57
"120",Dec 1999,135.12,NA,27,0.5414,0.995421063109695,5.2163,11.6615,7.647654,1.94687437786184,328.44,196.7705
"121",Jan 2000,139.67,NA,28.55,0.559227,1.02134613420488,5.4755,NA,7.838402,1.99757940966193,337.9,201.4
"122",Feb 2000,139.97,NA,28.66,0.573436,1.02944204241301,5.4973,NA,7.982711,2.01341362981264,342.38,206.97
"123",Mar 2000,141.05,NA,28.46,0.589478,1.04679158379567,5.4276,NA,8.081238,2.04734638333508,350.33,211.0681
"124",Apr 2000,144.82,NA,28.4,0.610774,1.10071546505228,5.4015,NA,8.494217,2.15281232801321,365.4,223.9083
"125",May 2000,144.11,NA,28.25,0.616224,1.07492206815006,5.4144,NA,8.286196,2.10236482854993,362.13,218.1237
"126",Jun 2000,139.62,NA,28.07,0.619588,1.04646295521139,5.4378,NA,8.046248,2.04670364169108,351.78,216.0032
"127",Jul 2000,141.48,NA,27.8,0.637046,1.08189981607703,5.4388,NA,8.195787,2.11601211727794,365.02,222.7796
"128",Aug 2000,147.01,NA,27.75,0.655024,1.12283853581855,5.4385,NA,8.50921,2.19608129350999,377.29,234.1754
"129",Sep 2000,146.95,NA,27.75,0.667491,1.14090131203651,5.4397,NA,8.528796,2.23140901312037,385.56,238.2366
"130",Oct 2000,149.95,NA,27.83,0.684332,1.18807175953428,5.4369,NA,8.890303,2.32366638944992,403.38,246.4111
"131",Nov 2000,149.36,NA,27.85,0.683746,1.15154306771073,5.4367,NA,8.773159,2.25222247812068,392.43,243.6839
"132",Dec 2000,142.64,NA,28.16,0.673385,1.07469102632993,5.4345,63.1659,8.155344,2.10191295002687,365.62,227.3771
"133",Jan 2001,142.43,NA,28.37,0.678062,1.07607876896589,5.4306,NA,8.376866,2.10462713870655,NA,231.978
"134",Feb 2001,143.25,NA,28.72,0.922899,1.08131487889273,5.4288,NA,8.418701,2.11486807958478,NA,234.0365
"135",Mar 2001,146.86,NA,28.74,1.023021,1.13224637681159,5.4192,67.2298,8.722122,2.21448143115942,NA,244.1283
"136",Apr 2001,145.01,NA,28.83,1.140437,1.12663361874718,5.4158,NA,8.358607,2.2035038305543,NA,240.6122
"137",May 2001,149.04,NA,29.09,1.209056,1.17924528301887,5.4152,NA,8.504916,2.30640330188679,NA,253.2254
"138",Jun 2001,148.58,NA,29.11,1.255794,1.17924528301887,5.3828,NA,8.646132,2.30640330188679,NA,256.2949
"139",Jul 2001,145.39,NA,29.27,1.326299,1.14220445459737,5.3535,NA,8.21719,2.23395773843518,NA,249.555
"140",Aug 2001,142.93,NA,29.37,1.361508,1.0919414719371,5.3404,NA,8.372541,2.13565188905875,NA,241.0831
"141",Sep 2001,141.65,NA,29.39,1.552329,1.09517029898149,5.3311,65.4251,8.230964,2.14196692585697,NA,239.5822
"142",Oct 2001,140.85,NA,29.7,1.591232,1.1059500110595,5.2937,NA,8.220879,2.1630502101305,NA,242.7704
"143",Nov 2001,138.81,NA,29.9,1.477524,1.12384805574286,5.2831,67.7111,8.361883,2.19805574286357,NA,248.0418
"144",Dec 2001,136.55,NA,30.14,1.450127,1.13468739362306,5.2985,67.6702,8.356043,2.21925564506978,NA,250.9458
"145",Jan 2002,142.68,NA,30.685,1.308488,1.15780942456872,5.321,69.5449,8.741603,2.26447840685423,NA,257.0085
"146",Feb 2002,140.75,NA,30.9274,1.398394,1.15593572997341,5.3215,69.5073,8.600657,2.2608137787539,NA,258.1494
"147",Mar 2002,143.81,NA,31.1192,1.34102,1.14626318202659,5.3221,69.0655,8.494991,2.24189591930307,NA,257.2488
"148",Apr 2002,144.87,NA,31.1963,1.335096,1.1101243339254,5.327,66.9866,8.185742,2.17121447602131,NA,248.8107
"149",May 2002,146.08,NA,31.3071,1.441478,1.0653030787259,5.3293,64.6228,7.928032,2.08355172046447,NA,240.9379
"150",Jun 2002,139.75,NA,31.4471,1.572927,1.00250626566416,5.3288,61.3468,7.359729,1.96073182957393,NA,226.877
"151",Jul 2002,138.16,NA,31.4401,1.685923,1.02218133496882,5.329,61.9492,7.52274,1.99921292037207,NA,230.8874
"152",Aug 2002,140.1,NA,31.5673,1.625257,1.01698362656361,5.3293,61.8382,7.488902,1.98904708634191,NA,231.0362
"153",Sep 2002,138.89,NA,31.6358,1.654436,1.01419878296146,5.3295,62.3323,7.504951,1.98360040567951,NA,233.4731
"154",Oct 2002,138.14,NA,31.7408,1.666521,1.01378751013788,5.3302,62.1066,7.627325,1.98279602595296,NA,232.9672
